Rabbit - low ATP,,,,
time (s),A band width (micron),,time (s),Sarcomere length (micron)
7.737960406,1.530267787,,5.043034161,2.706567893
7.743154728,1.525741141,,5.053141599,2.718120558
7.795323782,1.52931204,,5.072128499,2.732321983
7.839046418,1.526846196,,5.081942801,2.745522117
7.884756447,1.531376869,,5.103421241,2.757179569
7.874819484,1.527534943,,5.124584662,2.728756345
7.904078319,1.536774284,,5.119423211,2.715155986
7.939409742,1.540374336,,5.123111765,2.742203892
7.994063037,1.54002808,,5.127572538,2.704917513
8.057659599,1.541597004,,5.132385123,2.693181472
8.043747851,1.53769989,,5.128908666,2.681537119
8.108338109,1.541985127,,5.137047472,2.670534581
8.110325501,1.538857499,,5.141858794,2.658706853
8.123243553,1.535556971,,5.138381496,2.647001375
8.132470733,1.531827615,,5.133278961,2.758096447
8.143117479,1.528562182,,5.160018348,2.635758702
8.166717765,1.525328804,,5.156294023,2.623315355
8.176477282,1.522541811,,5.152582323,2.611788887
8.204997656,1.532823925,,5.169483362,2.600655366
8.206051576,1.527881243,,5.165766853,2.588779611
8.251872015,1.524546736,,5.162056356,2.577340464
8.242487106,1.53140517,,5.178959197,2.566337926
8.247455587,1.528661892,,5.175245995,2.554702305
8.267329513,1.519472167,,5.17012831,2.544280457
8.297140401,1.516696559,,5.17002142,2.536517555
8.324467049,1.512720398,,5.211522598,2.660540609
8.331919771,1.508502594,,5.2113711,2.649538071
8.341856734,1.506125532,,5.211219602,2.638535533
8.326951289,1.517967865,,5.21603892,2.627288494
8.391541547,1.503934526,,5.215887422,2.616285956
8.40147851,1.499488279,,5.225663248,2.603755288
8.411415473,1.49625382,,5.22551175,2.59275275
8.441226361,1.50777045,,5.225360252,2.581750212
8.456131805,1.502833022,,5.232194492,2.572336929
8.461100287,1.499230061,,5.248549056,2.562801396
8.471037249,1.495549755,,5.257253199,2.549850492
8.477993123,1.49317703,,5.26395295,2.534683799
8.533419293,1.496461626,,5.270712844,2.521017948
8.543080229,1.494046436,,5.287091034,2.585448287
8.578687679,1.500977022,,5.290331828,2.604060914
8.590280802,1.506225209,,5.30306046,2.645422307
8.575375358,1.497684354,,5.300646313,2.630650381
8.615123209,1.509656763,,5.29551432,2.619189404
8.664808023,1.510129405,,5.289826835,2.567385787
8.704555874,1.514088008,,5.318388788,2.671243078
8.731882521,1.518034197,,5.318434696,2.658156726
8.792994842,1.519074767,,5.296214998,2.549659475
8.830010029,1.51454378,,5.348614349,2.682453997
8.842253786,1.51111026,,5.365752553,2.662741117
8.828767908,1.519379401,,5.37554942,2.651738579
8.895842407,1.513074265,,5.373710404,2.638596658
8.932112321,1.518454729,,5.380241648,2.631261633
8.97782235,1.517882175,,5.432722534,2.649560993
8.985629963,1.514414008,,5.440055982,2.640277602
9.007633238,1.511757001,,5.471422368,2.630344755
9.047381089,1.514355201,,5.480937882,2.616111313
9.084368672,1.510436965,,5.469932638,2.642569797
9.100614818,1.506740827,,5.490476391,2.599247303
9.115283668,1.505409347,,5.500175415,2.581138959
9.149731805,1.511887136,,5.513681878,2.568608291
9.171593123,1.515633976,,5.573304735,2.563718274
9.177555301,1.508926173,,5.603730571,2.554287527
9.226246418,1.517380531,,5.646675188,2.545747462
9.216309456,1.512688068,,5.68213777,2.560356387
9.213328367,1.509313117,,5.717729967,2.576350818
9.238441782,1.523427549,,5.757576732,2.580222081
9.211340974,1.507337516,,5.765698705,2.567997039
9.293546757,1.52385593,,5.797043349,2.556485124
9.342729704,1.52826078,,5.8425274,2.556907179
9.357556283,1.5330612,,5.867964626,2.546428571
9.365363897,1.536889892,,5.884880092,2.536342912
9.37530086,1.540000171,,5.921257634,2.546297589
9.410080229,1.533261332,,5.931029251,2.533461294
9.422856324,1.529107641,,5.937260506,2.521541878
9.410080229,1.536710518,,5.950676641,2.515352951
9.446101719,1.526184531,,5.987024574,2.505954949
9.496531805,1.532272611,,5.987194588,2.494218909
9.48460745,1.527936667,,6.000520516,2.482625494
9.504481375,1.537506792,,5.985530636,2.517874365
9.48460745,1.525192996,,6.013319687,2.471768492
9.529323782,1.540526795,,6.006038768,2.45906318
9.555159885,1.542428831,,6.049841513,2.492201777
9.576298515,1.535800797,,6.059619442,2.479823921
9.592920344,1.539139413,,6.061098651,2.466834814
9.610475645,1.542488081,,6.070876581,2.454456959
9.633661891,1.532681292,,6.089007939,2.446663494
9.630112976,1.528536108,,6.122253922,2.435617295
9.62869341,1.53764237,,6.146709016,2.422620911
9.643598854,1.525308462,,6.183098682,2.416253701
9.653535817,1.524520443,,6.206944879,2.432146256
9.693283668,1.529599379,,6.223286457,2.444890863
9.704462751,1.526547929,,6.251851394,2.455133702
9.765100808,1.530552874,,6.298689508,2.450680294
9.767810888,1.526450053,,6.328383105,2.439677756
9.806565043,1.523243025,,6.338187186,2.429199148
9.825776504,1.530432962,,6.375888932,2.449312253
9.829088825,1.527049363,,6.400304228,2.440306472
9.837369628,1.523574702,,6.441228872,2.450208756
9.871155301,1.534579495,,6.476291387,2.435762831
9.862212034,1.529749927,,6.517228897,2.427103426
9.913553009,1.537146658,,6.531615069,2.439756345
9.961581662,1.541144023,,6.553330195,2.451400698
9.956613181,1.535985528,,6.577449329,2.46561231
9.966550143,1.54586353,,6.613123487,2.476090917
0.102196753,1.512297341,,6.625157053,2.489909581
,,,6.635277957,2.50244025
,,,6.649194426,2.515385696
,,,6.706801819,2.518944057
,,,6.729522111,2.559800704
,,,6.722068183,2.543913706
,,,6.718612346,2.53376692
,,,6.739937595,2.593725196
,,,6.737461215,2.578082699
,,,6.737326551,2.568302665
,,,6.745177791,2.616693457
,,,6.747817783,2.607728426
,,,6.785890479,2.555007931
,,,6.799851014,2.593516815
,,,6.7971998,2.581597398
,,,6.797033573,2.569525169
,,,6.795612859,2.538595812
,,,6.809309535,2.521816942
